Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
23.9932,120079,8090.9,11502.4,156.04,413.514,1.42791,-0.493476,558.713,899.067,1363.76,1096.03,1315.96,0.184957,800.618,0,-7.53175e-12,0,0,0,0,-3.83693e-12,0,0.015625,315.014,1115.21,3.6364,50.0063,2.13427,0.0642402,0
23.9884,-131595,8090.88,11554.3,156.04,413.514,1.42782,-0.493461,558.713,899.066,1363.76,1096.03,1315.95,0.18495,800.615,0,-1.18376e-11,0,0,0,0,-4.95959e-12,0,0.0156222,315.014,1115.2,3.63586,50.0053,2.13414,0.064236,0
23.9836,-67003.8,8090.86,11601.5,156.04,413.514,1.42773,-0.493447,558.714,899.066,1363.76,1096.03,1315.95,0.184942,800.613,0,-1.25056e-11,0,0,0,0,-4.8459e-12,0,0.0156194,315.014,1115.19,3.63532,50.0043,2.134,0.0642318,0
23.9789,-19887,8090.84,11587.9,156.04,413.514,1.42764,-0.493433,558.714,899.066,1363.76,1096.03,1315.94,0.184935,800.611,0,-1.40972e-11,0,0,0,0,-5.30065e-12,0,0.0156167,315.014,1115.19,3.63478,50.0033,2.13387,0.0642276,0
23.9741,169482,8090.82,11528.8,156.04,413.514,1.42755,-0.493419,558.714,899.065,1363.76,1096.03,1315.93,0.184928,800.608,0,-1.42961e-11,0,0,0,0,-6.70752e-12,0,0.0156139,315.014,1115.18,3.63424,50.0022,2.13374,0.0642234,0
23.9693,162084,8090.8,11543.6,156.04,413.514,1.42746,-0.493405,558.714,899.065,1363.76,1096.03,1315.92,0.184921,800.606,0,-1.57883e-11,0,0,0,0,-1.04734e-11,0,0.0156112,315.014,1115.17,3.63371,50.0012,2.13361,0.0642193,0
23.9645,12582,8090.78,11536.9,156.04,413.514,1.42737,-0.493391,558.714,899.065,1363.76,1096.03,1315.91,0.184914,800.604,0,-1.71667e-11,0,0,0,0,-9.43601e-12,0,0.0156084,315.014,1115.16,3.63317,50.0002,2.13347,0.0642152,0
23.9598,-68785.7,8090.76,11559.4,156.04,413.514,1.42728,-0.493378,558.714,899.064,1363.76,1096.03,1315.9,0.184906,800.601,0,-1.78062e-11,0,0,0,0,-9.56391e-12,0,0.0156057,315.014,1115.16,3.63264,49.9992,2.13334,0.0642111,0
23.955,-69356,8090.74,11543,156.04,413.514,1.42719,-0.493364,558.714,899.064,1363.76,1096.03,1315.9,0.184899,800.599,0,-1.56177e-11,0,0,0,0,-1.11555e-11,0,0.015603,315.014,1115.15,3.63211,49.9981,2.13321,0.064207,0
23.9502,7569.95,8090.72,11474.6,156.04,413.514,1.4271,-0.493351,558.714,899.064,1363.76,1096.03,1315.89,0.184893,800.597,0,-1.49072e-11,0,0,0,0,-9.33653e-12,0,0.0156002,315.014,1115.14,3.63158,49.9971,2.13308,0.064203,0
